timestamp;open;high;low;close;volume
1.7424E+12;0.727;0.728;0.727;0.727;0.769999981
1.7424E+12;0.728;0.728;0.727;0.728;0.769999981
1.7424E+12;0.728;0.729;0.728;0.728;0.879999995
1.7424E+12;0.728;0.729;0.728;0.728;0.879999995
1.7424E+12;0.728;0.728;0.728;0.728;0.439999998
1.7424E+12;0.728;0.729;0.728;0.728;1.210000038
1.7424E+12;0.728;0.73;0.728;0.729;0.769999981
1.7424E+12;0.729;0.731;0.729;0.73;0.660000026
1.7424E+12;0.73;0.731;0.73;0.731;1.429999948
1.7424E+12;0.73;0.731;0.73;0.731;1.100000024
1.7424E+12;0.73;0.731;0.729;0.729;1.429999948
1.7424E+12;0.73;0.73;0.729;0.729;0.660000026
1.7424E+12;0.73;0.73;0.729;0.729;0.879999995
1.7424E+12;0.728;0.729;0.728;0.729;0.660000026
1.7424E+12;0.728;0.728;0.728;0.728;0.219999999
1.7424E+12;0.728;0.729;0.728;0.728;1.100000024
1.7424E+12;0.728;0.731;0.728;0.729;1.429999948
1.7424E+12;0.728;0.729;0.727;0.727;0.550000012
1.7424E+12;0.726;0.726;0.726;0.726;0.219999999
1.7424E+12;0.725;0.725;0.725;0.725;0.109999999
1.7424E+12;0.725;0.725;0.724;0.724;0.769999981
1.7424E+12;0.724;0.725;0.724;0.725;0.219999999
1.7424E+12;0.726;0.726;0.725;0.726;0.330000013
1.7424E+12;0.725;0.725;0.725;0.725;0.330000013
1.7424E+12;0.725;0.725;0.723;0.723;0.550000012
1.7424E+12;0.722;0.723;0.722;0.723;0.660000026
1.7424E+12;0.723;0.724;0.723;0.723;0.330000013
1.7424E+12;0.722;0.722;0.722;0.722;0.219999999
1.7424E+12;0.722;0.723;0.722;0.723;0.219999999
1.7424E+12;0.722;0.722;0.722;0.722;0.219999999
1.7424E+12;0.722;0.724;0.722;0.724;0.330000013
1.7424E+12;0.723;0.724;0.723;0.724;0.330000013
1.7424E+12;0.723;0.723;0.723;0.723;0.219999999
1.7424E+12;0.724;0.724;0.723;0.723;0.660000026
1.7424E+12;0.723;0.723;0.721;0.722;0.99000001
1.7424E+12;0.721;0.722;0.72;0.721;1.210000038
1.7424E+12;0.722;0.722;0.721;0.721;0.330000013
1.7424E+12;0.721;0.722;0.721;0.721;0.660000026
1.7424E+12;0.721;0.722;0.721;0.721;2.200000048
1.7424E+12;0.722;0.722;0.722;0.722;0.109999999
1.7424E+12;0.722;0.722;0.721;0.721;0.660000026
1.7424E+12;0.72;0.721;0.72;0.72;0.439999998
1.7424E+12;0.72;0.721;0.72;0.72;0.879999995
1.7424E+12;0.719;0.719;0.718;0.719;1.870000005
1.7424E+12;0.718;0.719;0.718;0.719;0.330000013
1.7424E+12;0.718;0.718;0.717;0.717;0.219999999
1.7424E+12;0.718;0.718;0.718;0.718;0.219999999
1.7424E+12;0.719;0.719;0.719;0.719;0.109999999
1.7424E+12;0.718;0.719;0.718;0.719;1.320000052
1.7424E+12;0.72;0.72;0.719;0.719;0.330000013
1.7424E+12;0.719;0.719;0.719;0.719;0.219999999
1.7424E+12;0.718;0.718;0.718;0.718;0.219999999
1.7424E+12;0.718;0.719;0.718;0.718;0.330000013
1.7424E+12;0.718;0.72;0.718;0.72;0.660000026
1.7424E+12;0.72;0.72;0.72;0.72;0.330000013
1.7424E+12;0.72;0.721;0.72;0.721;0.550000012
1.7424E+12;0.72;0.721;0.72;0.72;0.660000026
1.7424E+12;0.721;0.721;0.719;0.72;0.439999998
1.7424E+12;0.719;0.72;0.719;0.719;0.660000026
1.7424E+12;0.72;0.721;0.72;0.721;0.99000001
1.7424E+12;0.721;0.722;0.721;0.721;0.660000026
1.7424E+12;0.721;0.722;0.719;0.721;0.879999995
1.7424E+12;0.722;0.722;0.72;0.72;0.769999981
1.7424E+12;0.72;0.72;0.72;0.72;0.109999999
1.7424E+12;0.72;0.72;0.72;0.72;0.219999999
1.7424E+12;0.721;0.721;0.721;0.721;0.109999999
1.7424E+12;0.72;0.721;0.72;0.721;0.439999998
1.7424E+12;0.721;0.722;0.719;0.72;1.100000024
1.7424E+12;0.719;0.72;0.719;0.72;0.879999995
1.7424E+12;0.72;0.72;0.72;0.72;0.219999999
1.7424E+12;0.719;0.72;0.719;0.719;0.330000013
1.7424E+12;0.72;0.72;0.718;0.719;0.550000012
1.7424E+12;0.718;0.719;0.718;0.718;0.660000026
1.7424E+12;0.719;0.719;0.719;0.719;0.109999999
1.7424E+12;0.719;0.719;0.719;0.719;0.439999998
1.7424E+12;0.719;0.72;0.719;0.72;0.219999999
1.7424E+12;0.72;0.721;0.72;0.72;0.660000026
1.7424E+12;0.721;0.721;0.72;0.72;1.75999999
1.7424E+12;0.719;0.72;0.719;0.719;0.550000012
1.74241E+12;0.719;0.72;0.719;0.72;0.439999998
1.74241E+12;0.719;0.719;0.719;0.719;0.219999999
1.74241E+12;0.718;0.718;0.718;0.718;0.219999999
1.74241E+12;0.717;0.717;0.717;0.717;0.219999999
1.74241E+12;0.716;0.717;0.716;0.716;0.550000012
1.74241E+12;0.715;0.716;0.715;0.715;0.879999995
1.74241E+12;0.714;0.714;0.714;0.714;0.109999999
1.74241E+12;0.713;0.713;0.713;0.713;0.219999999
1.74241E+12;0.714;0.714;0.713;0.713;0.879999995
1.74241E+12;0.713;0.714;0.713;0.713;1.320000052
1.74241E+12;0.712;0.714;0.712;0.713;1.320000052
1.74241E+12;0.713;0.714;0.713;0.713;0.99000001
1.74241E+12;0.712;0.712;0.711;0.711;0.439999998
1.74241E+12;0.711;0.711;0.71;0.71;0.439999998
1.74241E+12;0.709;0.713;0.709;0.712;1.539999962
1.74241E+12;0.711;0.711;0.71;0.71;0.769999981
1.74241E+12;0.71;0.711;0.71;0.71;0.550000012
1.74241E+12;0.711;0.711;0.71;0.71;0.550000012
1.74241E+12;0.709;0.71;0.709;0.71;0.660000026
1.74241E+12;0.71;0.711;0.71;0.711;0.550000012
1.74241E+12;0.71;0.711;0.71;0.71;1.100000024
1.74241E+12;0.71;0.711;0.71;0.711;0.219999999
1.74241E+12;0.712;0.712;0.712;0.712;0.109999999
1.74241E+12;0.712;0.713;0.712;0.713;0.219999999
1.74241E+12;0.712;0.713;0.712;0.713;0.660000026
1.74241E+12;0.714;0.714;0.713;0.713;0.550000012
1.74241E+12;0.713;0.714;0.713;0.714;1.100000024
1.74241E+12;0.713;0.714;0.713;0.713;0.439999998
1.74241E+12;0.712;0.713;0.712;0.713;0.439999998
1.74241E+12;0.712;0.714;0.712;0.714;1.100000024
1.74241E+12;0.713;0.725;0.71;0.719;8.720700264
1.74241E+12;0.72;0.721;0.718;0.718;2.529999971
1.74241E+12;0.717;0.717;0.714;0.714;1.649999976
1.74241E+12;0.714;0.717;0.714;0.716;2.640000105
1.74241E+12;0.715;0.716;0.714;0.714;0.660000026
1.74241E+12;0.714;0.714;0.711;0.712;1.539999962
1.74241E+12;0.711;0.711;0.708;0.708;1.870000005
1.74241E+12;0.707;0.71;0.707;0.709;0.99000001
1.74241E+12;0.71;0.71;0.709;0.709;1.75999999
1.74241E+12;0.709;0.712;0.709;0.711;1.980000019
1.74241E+12;0.712;0.714;0.712;0.714;0.769999981
1.74241E+12;0.715;0.716;0.715;0.715;0.660000026
1.74241E+12;0.715;0.718;0.715;0.717;1.75999999
1.74241E+12;0.717;0.718;0.717;0.717;0.330000013
1.74241E+12;0.718;0.718;0.717;0.717;0.219999999
1.74241E+12;0.717;0.72;0.717;0.72;1.539999962
1.74241E+12;0.719;0.72;0.719;0.72;1.75999999
1.74241E+12;0.719;0.72;0.719;0.719;0.550000012
1.74241E+12;0.718;0.719;0.718;0.718;1.539999962
1.74241E+12;0.717;0.717;0.716;0.716;0.769999981
1.74241E+12;0.715;0.716;0.714;0.714;1.320000052
1.74241E+12;0.714;0.714;0.714;0.714;0.219999999
1.74241E+12;0.715;0.717;0.715;0.717;0.99000001
1.74241E+12;0.716;0.717;0.715;0.716;1.210000038
1.74241E+12;0.715;0.716;0.715;0.715;1.320000052
1.74241E+12;0.714;0.715;0.714;0.715;0.439999998
1.74241E+12;0.714;0.714;0.713;0.714;0.330000013
1.74241E+12;0.713;0.713;0.712;0.712;0.550000012
1.74241E+12;0.713;0.713;0.712;0.713;0.99000001
1.74241E+12;0.713;0.715;0.713;0.714;0.660000026
1.74241E+12;0.715;0.718;0.715;0.718;0.99000001
1.74241E+12;0.718;0.719;0.718;0.718;2.200000048
1.74241E+12;0.718;0.719;0.717;0.717;1.649999976
1.74241E+12;0.716;0.717;0.716;0.717;1.320000052
1.74241E+12;0.717;0.717;0.716;0.716;0.769999981
1.74241E+12;0.716;0.716;0.715;0.715;0.550000012
1.74241E+12;0.716;0.716;0.715;0.716;0.99000001
1.74241E+12;0.715;0.715;0.714;0.714;0.99000001
1.74241E+12;0.714;0.715;0.714;0.715;0.99000001
1.74241E+12;0.714;0.715;0.714;0.714;1.429999948
1.74241E+12;0.713;0.715;0.713;0.715;0.439999998
1.74241E+12;0.714;0.716;0.714;0.715;1.320000052
1.74241E+12;0.715;0.716;0.715;0.716;1.100000024
1.74241E+12;0.715;0.716;0.715;0.716;0.879999995
1.74241E+12;0.715;0.717;0.715;0.716;0.99000001
1.74241E+12;0.715;0.715;0.714;0.714;1.429999948
1.74241E+12;0.715;0.715;0.714;0.714;1.870000005
1.74241E+12;0.714;0.716;0.714;0.716;0.550000012
1.74241E+12;0.715;0.716;0.715;0.716;0.219999999
1.74241E+12;0.716;0.717;0.716;0.717;0.439999998
1.74241E+12;0.716;0.718;0.716;0.718;0.439999998
1.74241E+12;0.718;0.719;0.718;0.719;0.769999981
1.74241E+12;0.719;0.722;0.719;0.722;0.660000026
1.74241E+12;0.723;0.723;0.721;0.722;2.200000048
1.74241E+12;0.721;0.722;0.72;0.722;0.660000026
1.74241E+12;0.723;0.725;0.723;0.725;0.99000001
1.74241E+12;0.726;0.726;0.726;0.726;0.109999999
1.74241E+12;0.725;0.726;0.725;0.726;1.649999976
